,Community,month,year,Street_lights
3579,47,8,2018,10
3580,47,9,2011,3
3581,47,9,2012,8
3582,47,9,2013,4
3583,47,9,2014,3
3584,47,9,2015,1
3585,47,9,2016,1
3586,47,9,2017,1
3587,47,9,2018,2
3588,47,10,2009,1
3589,47,10,2010,1
3590,47,10,2011,3
3591,47,10,2012,4
3592,47,10,2013,3
3593,47,10,2014,3
3594,47,10,2015,6
3595,47,10,2016,3
3596,47,10,2017,6
3597,47,10,2018,6
3598,47,11,2009,1
3599,47,11,2010,3
3600,47,11,2011,5
3601,47,11,2012,9
3602,47,11,2013,3
3603,47,11,2015,2
3604,47,11,2016,3
3605,47,11,2017,3
3606,47,12,2010,4
3607,47,12,2011,7
3608,47,12,2012,2
3609,47,12,2013,2
3610,47,12,2014,2
3611,47,12,2015,3
3612,47,12,2016,1
3613,48,1,2010,1
3614,48,1,2011,6
3615,48,1,2012,2
3616,48,1,2013,4
3617,48,1,2014,3
3618,48,1,2015,1
3619,48,1,2016,2
3620,48,1,2017,2
3621,48,1,2018,1
3622,48,2,2011,12
3623,48,2,2012,10
3624,48,2,2013,1
3625,48,2,2014,1
3626,48,2,2015,1
3627,48,2,2016,1
3628,48,2,2017,7
3629,48,2,2018,1
3630,48,3,2010,5
3631,48,3,2011,8
3632,48,3,2012,6
3633,48,3,2013,4
3634,48,3,2014,2
3635,48,3,2016,2
3636,48,3,2017,4
3637,48,4,2010,3
3638,48,4,2011,20
3639,48,4,2012,7
3640,48,4,2013,2
3641,48,4,2014,4
3642,48,4,2015,4
3643,48,4,2016,3
3644,48,4,2017,7
3645,48,4,2018,2
3646,48,5,2010,6
3647,48,5,2011,13
3648,48,5,2012,7
3649,48,5,2013,9
3650,48,5,2014,6
3651,48,5,2015,4
3652,48,5,2016,9
3653,48,5,2017,8
3654,48,5,2018,8
3655,48,6,2010,6
3656,48,6,2011,18
3657,48,6,2012,12
3658,48,6,2013,3
3659,48,6,2014,8
3660,48,6,2015,7
3661,48,6,2016,5
3662,48,6,2017,3
3663,48,6,2018,7
3664,48,7,2010,11
3665,48,7,2011,17
3666,48,7,2012,13
3667,48,7,2013,16
3668,48,7,2014,10
3669,48,7,2015,3
3670,48,7,2016,3
3671,48,7,2017,2
3672,48,7,2018,2
3673,48,8,2010,14
3674,48,8,2011,33
3675,48,8,2012,8
3676,48,8,2013,6
3677,48,8,2014,4
3678,48,8,2015,3
3679,48,8,2016,4
3680,48,8,2017,6
3681,48,8,2018,5
3682,48,9,2009,1
3683,48,9,2010,11
3684,48,9,2011,13
3685,48,9,2012,7
3686,48,9,2013,5
3687,48,9,2014,2
3688,48,9,2015,4
3689,48,9,2016,3
3690,48,9,2017,1
3691,48,9,2018,5
3692,48,10,2009,1
3693,48,10,2010,9
3694,48,10,2011,18
3695,48,10,2012,8
3696,48,10,2013,5
3697,48,10,2014,2
3698,48,10,2015,6
3699,48,10,2016,3
3700,48,10,2017,1
3701,48,10,2018,5
3702,48,11,2009,1
3703,48,11,2010,5
3704,48,11,2011,6
3705,48,11,2012,1
3706,48,11,2013,3
3707,48,11,2014,4
3708,48,11,2015,4
3709,48,11,2016,1
3710,48,11,2017,1
3711,48,12,2009,3
3712,48,12,2010,7
3713,48,12,2011,9
3714,48,12,2012,4
3715,48,12,2014,5
3716,48,12,2015,1
3717,48,12,2016,1
3718,48,12,2017,2
3719,49,1,2010,11
3720,49,1,2011,43
3721,49,1,2012,39
3722,49,1,2013,36
3723,49,1,2014,13
3724,49,1,2015,16
3725,49,1,2016,18
3726,49,1,2017,14
3727,49,1,2018,15
3728,49,2,2010,3
3729,49,2,2011,28
3730,49,2,2012,89
3731,49,2,2013,34
3732,49,2,2014,13
3733,49,2,2015,6
3734,49,2,2016,25
3735,49,2,2017,24
3736,49,2,2018,12
3737,49,3,2010,11
3738,49,3,2011,65
3739,49,3,2012,49
3740,49,3,2013,36
3741,49,3,2014,25
3742,49,3,2015,16
3743,49,3,2016,23
3744,49,3,2017,37
3745,49,3,2018,20
3746,49,4,2010,19
3747,49,4,2011,97
3748,49,4,2012,51
3749,49,4,2013,25
3750,49,4,2014,39
3751,49,4,2015,22
3752,49,4,2016,37
3753,49,4,2017,17
3754,49,4,2018,20
3755,49,5,2010,45
3756,49,5,2011,83
3757,49,5,2012,53
3758,49,5,2013,49
3759,49,5,2014,38
3760,49,5,2015,56
3761,49,5,2016,42
3762,49,5,2017,35
3763,49,5,2018,17
3764,49,6,2010,22
3765,49,6,2011,59
3766,49,6,2012,58
3767,49,6,2013,70
3768,49,6,2014,41
3769,49,6,2015,43
3770,49,6,2016,41
3771,49,6,2017,24
3772,49,6,2018,28
3773,49,7,2010,24
3774,49,7,2011,76
3775,49,7,2012,66
3776,49,7,2013,61
3777,49,7,2014,51
3778,49,7,2015,32
3779,49,7,2016,32
3780,49,7,2017,19
