,Community,Year,Count
1236,69,2002,7776
1237,69,2003,10820
1238,69,2004,11540
1239,69,2005,11129
1240,69,2006,10919
1241,69,2007,11258
1242,69,2008,10368
1243,69,2009,9529
1244,69,2010,9364
1245,69,2011,8917
1246,69,2012,8716
1247,69,2013,7711
1248,69,2014,6709
1249,69,2015,6660
1250,69,2016,6568
1251,69,2017,6411
1252,69,2018,4831
1253,70,2001,36
1254,70,2002,2927
1255,70,2003,3785
1256,70,2004,3943
1257,70,2005,3995
1258,70,2006,4284
1259,70,2007,4223
1260,70,2008,4241
1261,70,2009,3695
1262,70,2010,3473
1263,70,2011,3131
1264,70,2012,2816
1265,70,2013,2808
1266,70,2014,2548
1267,70,2015,2274
1268,70,2016,2704
1269,70,2017,2463
1270,70,2018,1785
1271,71,2001,91
1272,71,2002,8866
1273,71,2003,12239
1274,71,2004,13111
1275,71,2005,12705
1276,71,2006,12066
1277,71,2007,13287
1278,71,2008,12680
1279,71,2009,11505
1280,71,2010,10656
1281,71,2011,10247
1282,71,2012,9405
1283,71,2013,8560
1284,71,2014,7952
1285,71,2015,7727
1286,71,2016,7562
1287,71,2017,7450
1288,71,2018,5493
1289,72,2001,18
1290,72,2002,1431
1291,72,2003,1709
1292,72,2004,1739
1293,72,2005,1728
1294,72,2006,1520
1295,72,2007,1543
1296,72,2008,1632
1297,72,2009,1383
1298,72,2010,1285
1299,72,2011,1232
1300,72,2012,1197
1301,72,2013,1019
1302,72,2014,898
1303,72,2015,969
1304,72,2016,977
1305,72,2017,869
1306,72,2018,702
1307,73,2001,40
1308,73,2002,3939
1309,73,2003,5062
1310,73,2004,5321
1311,73,2005,5289
1312,73,2006,5516
1313,73,2007,5393
1314,73,2008,4951
1315,73,2009,4639
1316,73,2010,4544
1317,73,2011,4151
1318,73,2012,3960
1319,73,2013,3895
1320,73,2014,3179
1321,73,2015,3104
1322,73,2016,3194
1323,73,2017,3051
1324,73,2018,2485
1325,74,2001,10
1326,74,2002,822
1327,74,2003,1125
1328,74,2004,1095
1329,74,2005,1032
1330,74,2006,949
1331,74,2007,959
1332,74,2008,925
1333,74,2009,886
1334,74,2010,916
1335,74,2011,725
1336,74,2012,706
1337,74,2013,625
1338,74,2014,665
1339,74,2015,603
1340,74,2016,601
1341,74,2017,578
1342,74,2018,434
1343,75,2001,24
1344,75,2002,2719
1345,75,2003,3558
1346,75,2004,3622
1347,75,2005,3533
1348,75,2006,3612
1349,75,2007,3640
1350,75,2008,3418
1351,75,2009,3311
1352,75,2010,3157
1353,75,2011,2905
1354,75,2012,2704
1355,75,2013,2484
1356,75,2014,2132
1357,75,2015,2047
1358,75,2016,1976
1359,75,2017,2082
1360,75,2018,1648
1361,76,2001,30
